Problem ID,Text Description,Domain,Dataset_address,Optimal Value,Optimal Solution
1,"We run a store and want to choose which products to put on offer next, to earn as much as possible
from upcoming customers, using only a log of past visits — for each visit, the products that were on
offer, the single item the customer bought (or that she left with nothing), and each product's price.
We would rather not fit any model of how shoppers choose; we want the records themselves to drive the
decision. The tricky part is that a record reveals very little — only that the customer liked what she
bought more than the other things shown to her that day, and nothing about how she would feel about
items she was never shown — so for a different selection we cannot be sure what a similar customer
would do. We would rather play it safe and pick the offer that holds up best under the least favorable
behavior the records still allow. We want the set of products to put on offer and the revenue we can
count on from it. End your answer with two lines: `ASSORTMENT=[...]` — a JSON array of the offered
product indices (1-based) — and `VALUE=<v>`, the revenue you can count on from that offer.
",Revenue Management,Data/n10/m100_01.csv,2.6091,"S* = {1, 2, 3, 5}"
2,"We run a store and want to choose which products to put on offer next, to earn as much as possible
from upcoming customers, using only a log of past visits — for each visit, the products that were on
offer, the single item the customer bought (or that she left with nothing), and each product's price.
We would rather not fit any model of how shoppers choose; we want the records themselves to drive the
decision. The tricky part is that a record reveals very little — only that the customer liked what she
bought more than the other things shown to her that day, and nothing about how she would feel about
items she was never shown — so for a different selection we cannot be sure what a similar customer
would do. We would rather play it safe and pick the offer that holds up best under the least favorable
behavior the records still allow. We want the set of products to put on offer and the revenue we can
count on from it. End your answer with two lines: `ASSORTMENT=[...]` — a JSON array of the offered
product indices (1-based) — and `VALUE=<v>`, the revenue you can count on from that offer.
",Revenue Management,Data/n10/m100_02.csv,2.277,"S* = {1, 2, 4}"
3,"We run a store and want to choose which products to put on offer next, to earn as much as possible
from upcoming customers, using only a log of past visits — for each visit, the products that were on
offer, the single item the customer bought (or that she left with nothing), and each product's price.
We would rather not fit any model of how shoppers choose; we want the records themselves to drive the
decision. The tricky part is that a record reveals very little — only that the customer liked what she
bought more than the other things shown to her that day, and nothing about how she would feel about
items she was never shown — so for a different selection we cannot be sure what a similar customer
would do. We would rather play it safe and pick the offer that holds up best under the least favorable
behavior the records still allow. We want the set of products to put on offer and the revenue we can
count on from it. End your answer with two lines: `ASSORTMENT=[...]` — a JSON array of the offered
product indices (1-based) — and `VALUE=<v>`, the revenue you can count on from that offer.
",Revenue Management,Data/n10/m100_03.csv,2.2541,"S* = {1, 2, 3, 4, 5, 7, 9, 10}"
4,"We run a store and want to choose which products to put on offer next, to earn as much as possible
from upcoming customers, using only a log of past visits — for each visit, the products that were on
offer, the single item the customer bought (or that she left with nothing), and each product's price.
We would rather not fit any model of how shoppers choose; we want the records themselves to drive the
decision. The tricky part is that a record reveals very little — only that the customer liked what she
bought more than the other things shown to her that day, and nothing about how she would feel about
items she was never shown — so for a different selection we cannot be sure what a similar customer
would do. We would rather play it safe and pick the offer that holds up best under the least favorable
behavior the records still allow. We want the set of products to put on offer and the revenue we can
count on from it. End your answer with two lines: `ASSORTMENT=[...]` — a JSON array of the offered
product indices (1-based) — and `VALUE=<v>`, the revenue you can count on from that offer.
",Revenue Management,Data/n10/m100_04.csv,2.5525,"S* = {1, 2, 3, 4, 6}"
5,"We run a store and want to choose which products to put on offer next, to earn as much as possible
from upcoming customers, using only a log of past visits — for each visit, the products that were on
offer, the single item the customer bought (or that she left with nothing), and each product's price.
We would rather not fit any model of how shoppers choose; we want the records themselves to drive the
decision. The tricky part is that a record reveals very little — only that the customer liked what she
bought more than the other things shown to her that day, and nothing about how she would feel about
items she was never shown — so for a different selection we cannot be sure what a similar customer
would do. We would rather play it safe and pick the offer that holds up best under the least favorable
behavior the records still allow. We want the set of products to put on offer and the revenue we can
count on from it. End your answer with two lines: `ASSORTMENT=[...]` — a JSON array of the offered
product indices (1-based) — and `VALUE=<v>`, the revenue you can count on from that offer.
",Revenue Management,Data/n10/m100_05.csv,3.1154,"S* = {1, 2, 3, 4, 5, 6, 7, 9}"
6,"We run a store and want to choose which products to put on offer next, to earn as much as possible
from upcoming customers, using only a log of past visits — for each visit, the products that were on
offer, the single item the customer bought (or that she left with nothing), and each product's price.
We would rather not fit any model of how shoppers choose; we want the records themselves to drive the
decision. The tricky part is that a record reveals very little — only that the customer liked what she
bought more than the other things shown to her that day, and nothing about how she would feel about
items she was never shown — so for a different selection we cannot be sure what a similar customer
would do. We would rather play it safe and pick the offer that holds up best under the least favorable
behavior the records still allow. We want the set of products to put on offer and the revenue we can
count on from it. End your answer with two lines: `ASSORTMENT=[...]` — a JSON array of the offered
product indices (1-based) — and `VALUE=<v>`, the revenue you can count on from that offer.
",Revenue Management,Data/n10/m100_06.csv,3.8695,"S* = {1, 2, 3, 4, 5, 6, 8}"
7,"We run a store and want to choose which products to put on offer next, to earn as much as possible
from upcoming customers, using only a log of past visits — for each visit, the products that were on
offer, the single item the customer bought (or that she left with nothing), and each product's price.
We would rather not fit any model of how shoppers choose; we want the records themselves to drive the
decision. The tricky part is that a record reveals very little — only that the customer liked what she
bought more than the other things shown to her that day, and nothing about how she would feel about
items she was never shown — so for a different selection we cannot be sure what a similar customer
would do. We would rather play it safe and pick the offer that holds up best under the least favorable
behavior the records still allow. We want the set of products to put on offer and the revenue we can
count on from it. End your answer with two lines: `ASSORTMENT=[...]` — a JSON array of the offered
product indices (1-based) — and `VALUE=<v>`, the revenue you can count on from that offer.
",Revenue Management,Data/n10/m100_07.csv,4.6111,"S* = {1, 2, 3, 4, 5, 6, 7, 8}"
8,"We run a store and want to choose which products to put on offer next, to earn as much as possible
from upcoming customers, using only a log of past visits — for each visit, the products that were on
offer, the single item the customer bought (or that she left with nothing), and each product's price.
We would rather not fit any model of how shoppers choose; we want the records themselves to drive the
decision. The tricky part is that a record reveals very little — only that the customer liked what she
bought more than the other things shown to her that day, and nothing about how she would feel about
items she was never shown — so for a different selection we cannot be sure what a similar customer
would do. We would rather play it safe and pick the offer that holds up best under the least favorable
behavior the records still allow. We want the set of products to put on offer and the revenue we can
count on from it. End your answer with two lines: `ASSORTMENT=[...]` — a JSON array of the offered
product indices (1-based) — and `VALUE=<v>`, the revenue you can count on from that offer.
",Revenue Management,Data/n10/m100_08.csv,2.808,"S* = {1, 2, 3, 4, 5, 6, 7, 8, 10}"
9,"We run a store and want to choose which products to put on offer next, to earn as much as possible
from upcoming customers, using only a log of past visits — for each visit, the products that were on
offer, the single item the customer bought (or that she left with nothing), and each product's price.
We would rather not fit any model of how shoppers choose; we want the records themselves to drive the
decision. The tricky part is that a record reveals very little — only that the customer liked what she
bought more than the other things shown to her that day, and nothing about how she would feel about
items she was never shown — so for a different selection we cannot be sure what a similar customer
would do. We would rather play it safe and pick the offer that holds up best under the least favorable
behavior the records still allow. We want the set of products to put on offer and the revenue we can
count on from it. End your answer with two lines: `ASSORTMENT=[...]` — a JSON array of the offered
product indices (1-based) — and `VALUE=<v>`, the revenue you can count on from that offer.
",Revenue Management,Data/n10/m100_09.csv,4.4757,"S* = {1, 2, 3, 4, 5, 7}"
10,"We run a store and want to choose which products to put on offer next, to earn as much as possible
from upcoming customers, using only a log of past visits — for each visit, the products that were on
offer, the single item the customer bought (or that she left with nothing), and each product's price.
We would rather not fit any model of how shoppers choose; we want the records themselves to drive the
decision. The tricky part is that a record reveals very little — only that the customer liked what she
bought more than the other things shown to her that day, and nothing about how she would feel about
items she was never shown — so for a different selection we cannot be sure what a similar customer
would do. We would rather play it safe and pick the offer that holds up best under the least favorable
behavior the records still allow. We want the set of products to put on offer and the revenue we can
count on from it. End your answer with two lines: `ASSORTMENT=[...]` — a JSON array of the offered
product indices (1-based) — and `VALUE=<v>`, the revenue you can count on from that offer.
",Revenue Management,Data/n10/m100_10.csv,2.3146,"S* = {1, 2, 3, 4, 5, 6, 8, 9, 10}"
11,"We run a store and want to choose which products to put on offer next, to earn as much as possible
from upcoming customers, using only a log of past visits — for each visit, the products that were on
offer, the single item the customer bought (or that she left with nothing), and each product's price.
We would rather not fit any model of how shoppers choose; we want the records themselves to drive the
decision. The tricky part is that a record reveals very little — only that the customer liked what she
bought more than the other things shown to her that day, and nothing about how she would feel about
items she was never shown — so for a different selection we cannot be sure what a similar customer
would do. We would rather play it safe and pick the offer that holds up best under the least favorable
behavior the records still allow. We want the set of products to put on offer and the revenue we can
count on from it. End your answer with two lines: `ASSORTMENT=[...]` — a JSON array of the offered
product indices (1-based) — and `VALUE=<v>`, the revenue you can count on from that offer.
",Revenue Management,Data/n10/m100_11.csv,2.2414,"S* = {1, 2, 3, 5, 7}"
12,"We run a store and want to choose which products to put on offer next, to earn as much as possible
from upcoming customers, using only a log of past visits — for each visit, the products that were on
offer, the single item the customer bought (or that she left with nothing), and each product's price.
We would rather not fit any model of how shoppers choose; we want the records themselves to drive the
decision. The tricky part is that a record reveals very little — only that the customer liked what she
bought more than the other things shown to her that day, and nothing about how she would feel about
items she was never shown — so for a different selection we cannot be sure what a similar customer
would do. We would rather play it safe and pick the offer that holds up best under the least favorable
behavior the records still allow. We want the set of products to put on offer and the revenue we can
count on from it. End your answer with two lines: `ASSORTMENT=[...]` — a JSON array of the offered
product indices (1-based) — and `VALUE=<v>`, the revenue you can count on from that offer.
",Revenue Management,Data/n10/m100_12.csv,3.3559,"S* = {1, 2, 3, 4, 6}"
13,"We run a store and want to choose which products to put on offer next, to earn as much as possible
from upcoming customers, using only a log of past visits — for each visit, the products that were on
offer, the single item the customer bought (or that she left with nothing), and each product's price.
We would rather not fit any model of how shoppers choose; we want the records themselves to drive the
decision. The tricky part is that a record reveals very little — only that the customer liked what she
bought more than the other things shown to her that day, and nothing about how she would feel about
items she was never shown — so for a different selection we cannot be sure what a similar customer
would do. We would rather play it safe and pick the offer that holds up best under the least favorable
behavior the records still allow. We want the set of products to put on offer and the revenue we can
count on from it. End your answer with two lines: `ASSORTMENT=[...]` — a JSON array of the offered
product indices (1-based) — and `VALUE=<v>`, the revenue you can count on from that offer.
",Revenue Management,Data/n10/m100_13.csv,3.0395,"S* = {1, 2, 3, 4, 5, 9}"
14,"We run a store and want to choose which products to put on offer next, to earn as much as possible
from upcoming customers, using only a log of past visits — for each visit, the products that were on
offer, the single item the customer bought (or that she left with nothing), and each product's price.
We would rather not fit any model of how shoppers choose; we want the records themselves to drive the
decision. The tricky part is that a record reveals very little — only that the customer liked what she
bought more than the other things shown to her that day, and nothing about how she would feel about
items she was never shown — so for a different selection we cannot be sure what a similar customer
would do. We would rather play it safe and pick the offer that holds up best under the least favorable
behavior the records still allow. We want the set of products to put on offer and the revenue we can
count on from it. End your answer with two lines: `ASSORTMENT=[...]` — a JSON array of the offered
product indices (1-based) — and `VALUE=<v>`, the revenue you can count on from that offer.
",Revenue Management,Data/n10/m100_14.csv,2.9198,"S* = {1, 2, 3, 4, 7, 8, 9}"
15,"We run a store and want to choose which products to put on offer next, to earn as much as possible
from upcoming customers, using only a log of past visits — for each visit, the products that were on
offer, the single item the customer bought (or that she left with nothing), and each product's price.
We would rather not fit any model of how shoppers choose; we want the records themselves to drive the
decision. The tricky part is that a record reveals very little — only that the customer liked what she
bought more than the other things shown to her that day, and nothing about how she would feel about
items she was never shown — so for a different selection we cannot be sure what a similar customer
would do. We would rather play it safe and pick the offer that holds up best under the least favorable
behavior the records still allow. We want the set of products to put on offer and the revenue we can
count on from it. End your answer with two lines: `ASSORTMENT=[...]` — a JSON array of the offered
product indices (1-based) — and `VALUE=<v>`, the revenue you can count on from that offer.
",Revenue Management,Data/n10/m100_15.csv,1.988,"S* = {1, 2, 3, 5}"
16,"We run a store and want to choose which products to put on offer next, to earn as much as possible
from upcoming customers, using only a log of past visits — for each visit, the products that were on
offer, the single item the customer bought (or that she left with nothing), and each product's price.
We would rather not fit any model of how shoppers choose; we want the records themselves to drive the
decision. The tricky part is that a record reveals very little — only that the customer liked what she
bought more than the other things shown to her that day, and nothing about how she would feel about
items she was never shown — so for a different selection we cannot be sure what a similar customer
would do. We would rather play it safe and pick the offer that holds up best under the least favorable
behavior the records still allow. We want the set of products to put on offer and the revenue we can
count on from it. End your answer with two lines: `ASSORTMENT=[...]` — a JSON array of the offered
product indices (1-based) — and `VALUE=<v>`, the revenue you can count on from that offer.
",Revenue Management,Data/n10/m100_16.csv,2.8306,"S* = {1, 2, 3, 5}"
17,"We run a store and want to choose which products to put on offer next, to earn as much as possible
from upcoming customers, using only a log of past visits — for each visit, the products that were on
offer, the single item the customer bought (or that she left with nothing), and each product's price.
We would rather not fit any model of how shoppers choose; we want the records themselves to drive the
decision. The tricky part is that a record reveals very little — only that the customer liked what she
bought more than the other things shown to her that day, and nothing about how she would feel about
items she was never shown — so for a different selection we cannot be sure what a similar customer
would do. We would rather play it safe and pick the offer that holds up best under the least favorable
behavior the records still allow. We want the set of products to put on offer and the revenue we can
count on from it. End your answer with two lines: `ASSORTMENT=[...]` — a JSON array of the offered
product indices (1-based) — and `VALUE=<v>`, the revenue you can count on from that offer.
",Revenue Management,Data/n10/m100_17.csv,4.4832,"S* = {1, 2, 3, 4, 5, 6, 7, 8}"
18,"We run a store and want to choose which products to put on offer next, to earn as much as possible
from upcoming customers, using only a log of past visits — for each visit, the products that were on
offer, the single item the customer bought (or that she left with nothing), and each product's price.
We would rather not fit any model of how shoppers choose; we want the records themselves to drive the
decision. The tricky part is that a record reveals very little — only that the customer liked what she
bought more than the other things shown to her that day, and nothing about how she would feel about
items she was never shown — so for a different selection we cannot be sure what a similar customer
would do. We would rather play it safe and pick the offer that holds up best under the least favorable
behavior the records still allow. We want the set of products to put on offer and the revenue we can
count on from it. End your answer with two lines: `ASSORTMENT=[...]` — a JSON array of the offered
product indices (1-based) — and `VALUE=<v>`, the revenue you can count on from that offer.
",Revenue Management,Data/n10/m100_18.csv,3.3038,"S* = {1, 2, 3, 5}"
19,"We run a store and want to choose which products to put on offer next, to earn as much as possible
from upcoming customers, using only a log of past visits — for each visit, the products that were on
offer, the single item the customer bought (or that she left with nothing), and each product's price.
We would rather not fit any model of how shoppers choose; we want the records themselves to drive the
decision. The tricky part is that a record reveals very little — only that the customer liked what she
bought more than the other things shown to her that day, and nothing about how she would feel about
items she was never shown — so for a different selection we cannot be sure what a similar customer
would do. We would rather play it safe and pick the offer that holds up best under the least favorable
behavior the records still allow. We want the set of products to put on offer and the revenue we can
count on from it. End your answer with two lines: `ASSORTMENT=[...]` — a JSON array of the offered
product indices (1-based) — and `VALUE=<v>`, the revenue you can count on from that offer.
",Revenue Management,Data/n10/m100_19.csv,4.0936,"S* = {1, 2, 3, 4, 5, 6}"
20,"We run a store and want to choose which products to put on offer next, to earn as much as possible
from upcoming customers, using only a log of past visits — for each visit, the products that were on
offer, the single item the customer bought (or that she left with nothing), and each product's price.
We would rather not fit any model of how shoppers choose; we want the records themselves to drive the
decision. The tricky part is that a record reveals very little — only that the customer liked what she
bought more than the other things shown to her that day, and nothing about how she would feel about
items she was never shown — so for a different selection we cannot be sure what a similar customer
would do. We would rather play it safe and pick the offer that holds up best under the least favorable
behavior the records still allow. We want the set of products to put on offer and the revenue we can
count on from it. End your answer with two lines: `ASSORTMENT=[...]` — a JSON array of the offered
product indices (1-based) — and `VALUE=<v>`, the revenue you can count on from that offer.
",Revenue Management,Data/n10/m100_20.csv,1.8584,"S* = {1, 2, 3, 4, 6}"
21,"We run a store and want to choose which products to put on offer next, to earn as much as possible
from upcoming customers, using only a log of past visits — for each visit, the products that were on
offer, the single item the customer bought (or that she left with nothing), and each product's price.
We would rather not fit any model of how shoppers choose; we want the records themselves to drive the
decision. The tricky part is that a record reveals very little — only that the customer liked what she
bought more than the other things shown to her that day, and nothing about how she would feel about
items she was never shown — so for a different selection we cannot be sure what a similar customer
would do. We would rather play it safe and pick the offer that holds up best under the least favorable
behavior the records still allow. We want the set of products to put on offer and the revenue we can
count on from it. End your answer with two lines: `ASSORTMENT=[...]` — a JSON array of the offered
product indices (1-based) — and `VALUE=<v>`, the revenue you can count on from that offer.
",Revenue Management,Data/n10/m200_01.csv,3.6296,"S* = {1, 2, 3, 4, 5, 8}"
